,Text,Class
0,"Reports claim that the sweetener aspartame, commonly found in various foods and fizzy drinks, is set to be officially classified as ""possibly carcinogenic"" to humans. However, the label ""possibly carcinogenic"" does not indicate the magnitude of the potential risk. Other substances classified as ""possibly carcinogenic"" include aloe vera, diesel, and pickled Asian vegetables. The International Agency for Research on Cancer (IARC) is expected to make an announcement on July 14th. Aspartame, which is 200 times sweeter than sugar, provides a sweet taste without the added calories. It is commonly found in diet drinks, chewing gums, and some yogurts. The sweetener has been in use for decades and has been approved by food safety bodies, but there has been controversy surrounding its safety.

The IARC, the cancer research arm of the World Health Organization, has been conducting a review of approximately 1,300 studies on aspartame and cancer. The Reuters news agency has reported that aspartame will be classified as ""possibly carcinogenic."" However, it is important to note that this classification does not indicate the actual level of risk associated with aspartame. The IARC classifications provide information on the strength of the evidence rather than the actual risk to health. The ""possibly"" category is used when there is limited evidence from human or animal studies. It is worth noting that substances categorized in this group do not have strong evidence suggesting they cause cancer.

The IARC classifications have been criticized in the past for causing confusion and unnecessary alarm. It is important to interpret these classifications correctly. The exact risk associated with aspartame is not provided in the data. The Joint World Health Organization and Food and Agriculture Organization's Expert Committee on Food Additives is expected to release a report in July, which may provide further information. Previous scientific committees have considered aspartame safe for consumption at current permitted use levels. Studies linking aspartame to cancer have been controversial, with conflicting results from animal and human studies. Aspartame is generally regarded as safe, except for individuals with an inherited condition called phenylketonuria (PKU), who cannot metabolize a component of aspartame.",health
1,"Scientists have discovered a key defense mechanism that effectively blocks the majority of bird flu strains from invading our bodies. Bird flus have caused four pandemics since 1918, resulting in millions of deaths. Researchers from the University of Glasgow found that these pandemics, along with regular winter flus, have evolved strategies to bypass this natural defense barrier. The team believes that soon they will be able to predict which bird flu strains pose the greatest risk.

The scientists conducted investigations into spillover events, which occur when a person becomes infected by an animal. This cross-species transmission is a critical step in the emergence of a new pandemic. Through laboratory experiments, the researchers identified a specific section of our DNA called BTN3A3 that becomes activated in response to infection. BTN3A3 was found to be active in the nose, throat, and lungs, reducing the ability of bird flu strains to replicate.

Dr. Rute Maria Pinto, one of the researchers, stated that ""nearly all"" bird flu strains are unable to bypass this protective mechanism and therefore cannot infect humans. However, most human viruses, including pandemic strains, have evolved resistance to BTN3A3 and can overcome this defense barrier.

There is an ongoing risk of bird flu strains crossing over into humans, as wild birds harbor various flu viruses, and poultry poses a significant risk due to the large number of farmed animals in close proximity to humans. The 1918 flu pandemic, which is estimated to have caused 50 million deaths, is believed to have originated in birds. The researchers discovered that a specific bird flu strain called H7N9 developed higher resistance to BTN3A3 before the first human cases emerged in 2013.

The researchers envision a future where the genetic code of circulating bird flu strains can be routinely analyzed and dangerous strains identified. This knowledge would enable targeted measures to be implemented to control high-risk viruses. Prof Massimo Palmarini, director of the Centre for Virus Research in Glasgow, explained that sequencing the virus's genetic code would allow scientists to assess the likelihood of a virus crossing over to humans.

Regarding the current bird flu outbreak, the largest ever recorded, more than 50% of virus samples from birds and all seven human cases detected this year have shown resistance to BTN3A3. However, bypassing BTN3A3 is just one aspect of the virus's threat to human health, and other factors must be considered. Dr. Stephen Oakeshott from the Medical Research Council emphasized the importance of mechanistic scientific insights and genetic surveillance in understanding viral transmission between species and informing public health planning.",health
2,"An appeal has been launched to raise one million pounds for the leukaemia treatment of a 20-month-old girl named Hallie from Coventry. Hallie was diagnosed with leukaemia at Birmingham Children's Hospital when she was eight months old. After her last stem cell transplant failed, her family was informed that their best option might be to seek treatment in the United States. Hallie's aunt, Hannah Dugdale, described it as a daunting task.

Hallie was first diagnosed with a rare form of leukaemia called JMML in the summer of 2022 while on a family vacation in Spain. She was flown back home for treatment and has since undergone chemotherapy, blood transfusions, and two stem cell transplants. On Thursday, the family learned that the latest transplant had not been successful, and a consultant at the Birmingham hospital suggested CAR T-cell therapy as their remaining option. CAR T-cell therapy involves genetically modifying immune system cells called T cells to enhance their effectiveness in targeting cancer cells, which are then reintroduced into the patient's bloodstream.

Although a trial for CAR T-cell therapy is scheduled to begin at Great Ormond Street Hospital in the coming months, Hallie's family prefers not to wait and hopes to take her to the United States for treatment. However, the third transplant required for the treatment is not funded by the National Health Service (NHS). Hallie's aunt expressed that her niece deserves every chance at a long and happy life and described her sister, Kim, as devastated but also grateful for the overwhelming support they have received. The fundraising appeal has already surpassed 180,000, and they hope to commence treatment before reaching the full amount through their Go Fund Me page.

Birmingham Children's Hospital stated that a third transplant is not a current treatment option for Hallie's rare form of leukaemia. However, the hospital's teams are actively exploring other possibilities for her, including the potential of experimental CAR T-cell therapy as part of a clinical trial. NHS England has been contacted for a response regarding the matter.",health
3,"European Union (EU) officials are strongly recommending that all member states require negative Covid tests from Chinese arrivals before they travel, as travel in and out of China is set to become easier due to the scrapping of the ""zero-Covid"" policy. China is currently experiencing a surge in Covid cases, leading to overwhelmed hospitals and crematoriums.

Some EU countries have already implemented testing requirements, despite earlier advice suggesting it was unjustified. The EU's Integrated Political Crisis Response group (IPCR), comprised of officials from the EU's 27 governments, has recommended several measures. These include the wearing of face masks by all passengers on flights to and from China, the introduction of random testing for flights from China, and conducting wastewater monitoring at airports.

The European Commission has stated that a majority of member states favor restrictions on Chinese arrivals, leading to France, Spain, and Italy already implementing testing requirements. Germany has been monitoring the situation, while England, which is outside the EU, has mandated pre-flight testing for arrivals from China starting Thursday. It is unclear whether an EU-wide policy will be introduced, as individual states can determine their own policies.

The IPCR's recommendation represents a change in direction from the advice given by the European Centre for Disease Prevention and Control (ECDC) last week, which advised against mandatory Covid testing. The ECDC argued that testing was unnecessary due to high vaccination rates in Europe and the presence of variants circulating within the EU that originated from China.

The World Health Organization (WHO) stated that there is currently no evidence of new variants in China despite the surge in cases. However, experts have cautioned that this may be due to a lack of testing and data. The WHO has also noted that China has been underreporting the true impact of Covid in the country, partly because of a narrow definition of Covid-related deaths. Beijing has officially confirmed only 22 deaths since December, whereas analysts estimate much higher numbers, with over two million daily Covid cases and 14,700 deaths according to the UK science data company Airfinity.

The Chinese government has suggested that travel restrictions on Chinese arrivals are politically motivated and has warned of potential retaliation.",health
4,"Experts have informed the BBC that the current surge of Covid cases in China is unlikely to impact India, but they emphasize the importance of remaining cautious and wearing masks.

India has increased surveillance following a spike in cases in neighboring China. Individuals traveling from China and four other Asian countries are now required to provide a negative Covid-19 test report before entering India. In preparation for a surge, drills were conducted to assess the capacity of hospitals.

According to government data, India currently has around 3,400 active coronavirus cases. However, reports of the surge in China and the memory of two deadly Covid waves in 2020 and 2021 have raised concerns among many people.

Experts reassure the public that there is no reason to worry at this moment. Dr. Chandrakant Lahariya, an epidemiologist and health systems specialist, explains that the surge in infections in China is expected when a susceptible population is not exposed to the virus. He emphasizes that nothing has changed for the rest of the world, including India.

China has been grappling with a surge in Covid cases after moving away from its previous ""zero-Covid"" approach, which involved strict lockdowns, quarantines, and closed borders. The country is now striving to accelerate vaccinations for its vulnerable elderly population as the surge strains healthcare systems. Some experts have raised concerns about whether the main vaccines used in China, Sinovac and Sinopharm, can provide long-term immunity.

Dr. Jacob John, a virologist, explains that people are getting infected because the Omicron subvariant known as BF.7, which is driving the surge in China, is highly infectious and can evade previous immunity. He notes that individuals without immunity are at greater risk, particularly the elderly and immunosuppressed populations.

India has reported four Covid-19 cases caused by BF.7 in recent months, and all patients have recovered, according to health officials. Dr. Lalit Kant, an epidemiologist, states that while Covid is still present, it has become similar to another upper respiratory tract infection like influenza.

The low caseload in India can be largely attributed to the immunity gained over the past three years. Dr. A Fathahudeen, a critical care expert, explains that India's ""hybrid immunity wall"" against Covid-19 is satisfactory, as a majority of people have either received two vaccine doses or gained natural immunity from prior infections. He also highlights that the vaccines used in India are more effective than those used in China.

To further enhance immunity, Dr. Fathahudeen recommends people to take the booster dose if they haven't already done so. Currently, only around 27% of the population has received the booster dose. Experts generally agree with this appeal and stress the benefits of receiving a third shot, particularly for individuals above 60 years of age and those at high risk.

The government's decision to increase genome sequencing, allowing for the identification of new variants, is also supported by experts. Dr. John states that the current testing strategy of random genome sequencing of 2% of international travelers is sufficient to detect any new variant.

Experts urge the government and individuals to adopt a mindset of expecting the best while preparing for the worst. They recommend wearing masks in crowded places, such as during sports events or on crowded buses and trains. Dr. John emphasizes the need for long-term, sustainable behavioral changes. Earlier this year, India relaxed its mask-wearing rules due to a decline in infection levels, but experts now advise caution and adherence to mask-wearing, especially in crowded areas.

In conclusion, experts advise the public to remain cautious, wear masks, and stay informed about the latest news regarding the Covid situation. They also discourage unnecessary crowding and suggest wearing masks when large gatherings cannot be avoided.",health
5,"According to the World Health Organization (WHO), hospitals in China are reportedly filling up amid concerns of a new wave of Covid-19 hitting the country. Dr. Michael Ryan states that intensive care units (ICUs) are busy, despite officials claiming that case numbers are ""relatively low"". There is skepticism about the true impact of the disease, as China's figures show no Covid-related deaths on Wednesday. However, recent reports indicate that hospitals in Beijing and other cities have been experiencing a surge in admissions due to the latest Covid outbreak.

Since 2020, China has implemented strict health restrictions as part of its zero Covid policy. However, most of these measures were lifted two weeks ago after significant protests against the strict controls. Since then, the number of cases has sharply risen, raising concerns about the high mortality rate among the elderly, who are particularly vulnerable.

Despite the official figures indicating a low number of Covid deaths, WHO emergencies chief Dr. Ryan urges China to provide more information about the current spread of the virus. He notes that although reported ICU cases are low, there are anecdotal reports of ICUs filling up. The highly infectious nature of the virus makes it difficult to completely stop its spread through public health and social measures alone.

During a weekly news conference in Geneva, WHO chief Tedros Adhanom Ghebreyesus expresses his deep concern over the evolving situation in China. He calls for specific data on disease severity, hospital admissions, and intensive care requirements to be shared.

Dr. Ryan emphasizes that vaccination is the key strategy to combat coronavirus outbreaks. China has developed and produced its own vaccines, which have shown to be less effective in preventing serious Covid illness and death compared to mRNA vaccines used in other parts of the world.

In related news, the German government has announced that it sent its first batch of BioNTech Covid-19 vaccines to China. These vaccines will initially be administered to expats in China, estimated to be around 20,000 individuals. This marks the first delivery of a foreign Covid-19 vaccine to China, although no specific details have been released regarding the delivery size or timing. During a visit to Beijing, Chancellor Olaf Scholz had urged for the vaccine to be made freely available to Chinese citizens.",health
6,"In the town of Taveta, located near the border with Tanzania in Kenya's Taita Hills, families gathered at a local health clinic. They were waiting to hear from Lea Kilenga Bey, who asked if anyone had sickle cell. In response, they all shouted that they either carry the genetic mutation or are caring for someone who does. Taveta, with a population of 22,000, has one of the highest rates of sickle cell disease in Kenya, affecting nearly one in four residents.

Sickle cell disease causes the red blood cells, which are normally round, to have a crescent or sickle shape. This leads to a reduced ability to transport oxygen throughout the body, resulting in severe pain episodes that can last for weeks. According to the World Health Organization (WHO), two-thirds of people affected by sickle cell worldwide live in African countries. It is the most prevalent genetically acquired disease in the region, and child mortality rates are high, with more than half of children born with sickle cell dying before the age of five.

Lea Kilenga Bey, who was diagnosed with sickle cell at six months old and is now in her 30s, founded the Africa Sickle Cell organization in 2017 to improve the lives of people with the disease. She returned to Taveta, her hometown, to raise awareness and dispel myths and misconceptions surrounding sickle cell, which some communities attribute to ancestral curses or witchcraft. Access to medicine is a major challenge for individuals with sickle cell in Taveta and other towns across Kenya. Daily treatment, including antibiotics, blood cell medications, and dietary supplements, is necessary for managing the disease. However, many people cannot afford the expensive medications and must choose between buying medicine or food.

Ms Bey has experienced sickle cell crises firsthand and recorded video diaries to raise awareness about the excruciating pain caused by the disease. In Taveta, she joined a group of people protesting at the local hospital, demanding better treatment and medication. Expired medicine and lack of proper medical care have led to the loss of lives in the community. As a result of advocacy efforts by Albert Loghwaru and Lea Kilenga Bey, a joint haemophilia and sickle clinic was established in Taveta, the first in Taita Taveta county. However, the struggle for better care and support for individuals with sickle cell continues.

Ms Bey emphasizes that their work has just begun, comparing it to a relay race rather than a marathon. The focus is on continuing efforts to improve the lives of people with sickle cell and ensure access to necessary treatment and support for the community.",health
7,"A panel of US medical experts is recommending that women start preventative breast cancer screening a decade earlier than current guidelines suggest. They propose initiating mammograms at age 40 and having regular screenings every two years. The draft guidelines from the US Preventive Services Task Force (USPSTF) are currently undergoing review. Previous recommendations advised most women to begin screening at age 50.

The task force, composed of doctors and disease experts who evaluate research on disease prevention, claims that if the new recommendations are adopted, they could save the lives of an additional 19% of American women. Breast cancer is the second most common cancer among women in the United States, and nearly 13% of American women will receive a breast cancer diagnosis during their lifetime.

The new screening guidelines are particularly significant for black women, who are reported to be ""40% more likely to die from breast cancer than white women,"" according to the task force's statement. Dr. Wanda Nicholson, Vice Chair of the USPSTF, emphasized that while ensuring black women start screening at age 40 is an important first step, it alone is insufficient to address the health disparities related to breast cancer.

The proposed draft guidelines are intended for women at average risk for breast cancer or those with a family history of the disease. They also include women with other risk factors, such as dense breast tissue, which can increase the risk of cancer and make it more challenging to detect using mammograms. However, these guidelines would not apply to women with a genetic risk of breast cancer, such as those carrying the BRCA1 genetic mutation.",health
8,"Kristan Hawkins, the founder of Students for Life of America (SFLA), has become a prominent figure in the anti-abortion movement in the United States. She started her journey as an activist when she was 15, volunteering at a crisis pregnancy center and becoming deeply committed to the pro-life cause. Over the years, she has grown SFLA into one of the largest anti-abortion organizations in the country, with a focus on training and mobilizing young activists on college campuses.

Hawkins is known for her relentless dedication and unyielding approach. She played a significant role in the push for stricter abortion laws after the Supreme Court's decision to overturn Roe v. Wade. Under her leadership, SFLA has been instrumental in advocating for anti-abortion bills in various state legislatures. These efforts have led to the restriction or unavailability of abortion for millions of women, sparking public health concerns.

While Hawkins and her organization have been successful in advancing their agenda, they face opposition from pro-choice advocates and even some Republicans who believe their approach is extreme. Hawkins has set her sights on achieving a federal abortion ban, starting at conception, which goes against public opinion that generally supports access to legal abortion.

Hawkins' strategy of pushing for early abortion bans at six weeks of pregnancy reflects a departure from the incremental approach favored by other anti-abortion groups. Her outspokenness and refusal to compromise on exceptions for rape and incest, as well as her opposition to certain forms of birth control, have drawn criticism from both pro-choice activists and more moderate Republicans.

Despite the divisions within the anti-abortion movement and the political challenges ahead, Hawkins remains determined to pursue her goal. She is willing to challenge politicians who do not align with her strict pro-life stance and believes that the movement should continue to push for increasingly extreme measures in the absence of Roe v. Wade.

Hawkins' uncompromising approach has solidified her influence among anti-abortion activists, even as public opinion and electoral dynamics shift in favor of abortion rights. As the movement moves further to the right, she is seen as a driving force behind its shift toward more extreme abortion bans.",health
9,"Since the US Supreme Court's Dobbs decision ended 50 years of protected access to abortions in the United States, parents of teens and preteens are finding themselves in the position of having to have more detailed conversations with their children about reproductive health and birth control. The changing legal landscape around reproductive healthcare has raised concerns and a sense of urgency among parents, who are now discussing topics such as renting out-of-state post office boxes, using public WiFi, and deleting personal details from phone apps to ensure privacy and avoid tracking.

One mother, referred to as Christine, expressed shock and concern after the Dobbs decision became official. She felt the need to protect her children and had discussions with her teenage son and his friend about the increased risks and responsibilities associated with sexual activity. Christine emphasized the potential need for funds to cover travel expenses for out-of-state abortions and stressed the importance of making responsible choices.

Another parent, Adam, and his wife in Louisiana, discussed birth control options for their 15-year-old daughter earlier than planned due to concerns about potential restrictions on birth control access. They decided to get their daughter an intrauterine device (IUD) to provide long-acting contraception. They felt that their choices had been limited and wanted to ensure their daughter's future was not derailed.

The changing landscape of reproductive health care also affects access for teens who cannot discuss birth control with their parents. Programs like Title X, which provide family planning services to low-income patients and adolescents, have been crucial in providing access to birth control. However, these programs are now under threat, leaving some teenagers with limited options.

In Texas, for example, minors need parental consent to access birth control, even if they are already parents themselves. Title X clinics used to provide free and confidential contraception, but a recent ruling deemed it a violation of parental rights and state law. This has further restricted access for teenagers in Texas.

The Dobbs decision and related changes in reproductive health care have led parents to engage in more open and direct discussions about sexual health with their children. They are taking proactive measures to ensure access to contraception and protect their children's future.",health
